mass_kg,foraging_percent_day
12.06652453,25.06890974
61.11611618,17.93090896
5.064931167,31.10250647
30.4307553,30.18749592
19.85631438,32.90721027
30.4307553,34.0173351
29.1589125,38.33305983
50.07594708,38.2060874
121.0091734,37.20533226
139.5156707,38.84518336
201.9831793,34.24381425
100.5708656,42.62682609
243.0307965,50.31866457
300.8627051,52.18903309
356.8896822,55.21726963
243.0307965,44.35821519
243.0307965,39.89004749
399.9242604,40.02261632
509.3845114,36.95926645
1008.575193,45.25010555
2025.588851,46.31333462
1114.221591,51.84386921
1833.529956,57.84260433
3104.312183,70.116677